RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR
3172;1;Medium;1;25;4;6;4;3;1
3173;1;Medium;2;41;4;6;3;3;1
3174;1;Medium;1;37;4;6;3;3;1
3175;1;Dark;1;32;2;7;4;3;1
3176;1;Dark;3;57;2;4;2;3;1
3177;1;Medium;1;29;2;7;5;3;1
3178;1;Dark;1;25;2;6;4;3;1
3179;1;Dark;1;30;2;4;1;6;1
3180;1;Dark;3;53;3;6;4;6;3
3181;1;Medium;2;43;1;5;5;3;1
3182;1;Dark;1;34;2;6;3;6;1
3183;1;Dark;1;30;2;5;4;6;1
3184;1;Dark;2;41;2;6;4;3;1
3185;1;Dark;2;44;2;6;4;3;1
3186;1;Dark;3;53;2;4;2;3;1
3187;1;Dark;1;26;4;6;2;3;2
3188;1;Dark;2;45;2;2;4;4;2
3189;1;Dark;1;26;2;4;2;6;1
3190;1;Light;3;53;4;5;3;3;1
3191;1;Dark;4;63;2;2;3;4;4
3192;1;Dark;2;45;2;6;3;2;2
3193;1;Dark;3;50;2;3;3;3;1
3194;1;Dark;3;52;2;3;3;4;2
3195;1;Light;1;32;2;7;4;6;1
3196;1;Dark;2;40;2;4;2;4;1
3197;1;Dark;1;30;2;3;3;6;1
3198;1;Medium;1;37;4;6;4;3;1
3199;1;Dark;1;25;2;2;2;6;1
3200;1;Dark;1;32;2;7;5;2;1
3201;1;Medium;2;44;2;2;4;3;3
3202;1;Dark;1;28;2;7;4;3;1
3203;1;Dark;1;25;2;4;3;4;1
3204;1;Dark;1;25;2;7;3;3;1
3205;1;Dark;3;54;2;4;4;4;2
3207;1;Dark;4;66;2;2;4;4;2
3208;1;Dark;1;32;2;5;3;6;1
3209;1;Dark;1;25;2;4;3;3;1
3210;1;Dark;1;25;2;5;4;4;1
3211;1;Dark;1;30;2;7;4;4;1
3214;1;Dark;4;63;2;2;3;3;3
3215;1;Dark;2;47;2;3;3;3;2
3216;1;Medium;3;54;2;5;4;4;2
3217;1;Dark;3;50;2;4;4;4;3
3218;1;Dark;2;47;2;4;4;4;2
3219;1;Dark;4;64;2;3;3;3;2
3220;1;Dark;2;45;2;5;3;3;2
3221;1;Dark;3;52;2;5;3;3;3
3222;1;Dark;1;25;2;4;5;5;1
3223;1;Dark;1;33;2;6;4;6;1
3224;1;Dark;1;34;2;7;4;6;1
3225;1;Dark;3;58;2;7;3;4;2
3226;1;Dark;1;26;2;6;5;3;1
3227;1;Dark;2;42;2;4;5;5;2
3228;1;Dark;2;41;2;4;3;3;2
3229;1;Medium;1;31;2;5;4;4;2
3230;1;Light;4;64;2;4;1;4;6
3231;1;Dark;3;54;2;7;3;4;1
3233;1;Dark;3;55;2;3;3;3;3
3232;1;Dark;1;36;2;5;3;3;1
3234;1;Dark;1;39;2;5;4;3;3
3235;1;Dark;1;31;2;4;4;6;2
3236;1;Medium;4;69;2;4;2;5;5
3237;1;Dark;1;25;2;2;5;3;1
3238;1;Medium;3;51;2;2;4;4;5
3239;1;Dark;1;32;2;3;3;6;5
3240;1;Dark;2;40;2;7;4;4;2
3241;1;Light;2;47;2;2;2;3;6
3242;1;Dark;1;33;2;4;4;3;1
3243;1;Dark;1;29;2;7;4;3;1
3244;1;Dark;2;42;2;7;3;3;2
3245;1;Dark;1;25;2;6;3;5;1
3246;1;Dark;2;41;2;3;2;5;2
3247;1;Medium;1;26;2;5;3;3;1
3248;1;Dark;4;68;2;6;3;4;5
3249;1;Dark;2;44;2;5;3;5;3
3250;1;Dark;2;45;2;3;2;6;1
3251;1;Dark;1;26;2;7;3;5;1
3252;1;Dark;1;38;2;5;4;6;2
3253;1;Dark;4;65;2;5;3;3;3
3254;1;Dark;1;29;2;3;4;3;1
3255;1;Dark;2;41;2;5;4;3;2
3256;1;Dark;1;37;2;3;4;4;1
3257;1;Dark;1;25;2;7;3;6;1
3258;1;Dark;4;61;2;7;3;3;1
3259;1;Dark;2;41;2;5;3;4;1
3260;1;Dark;1;33;2;7;2;6;1
3261;1;Dark;3;50;2;6;2;4;3
3266;1;Dark;2;49;2;4;3;2;3
2228;1;Dark;4;69;2;3;2;4;5
2241;1;Dark;4;65;2;4;4;4;3
2242;1;Dark;4;66;2;3;3;3;2
2247;1;Dark;3;54;2;2;2;4;2
2141;1;Dark;4;69;1;6;4;3;5
2180;1;Dark;1;32;2;2;4;6;1
2176;1;Dark;2;40;2;6;3;3;3
2177;1;Dark;2;43;2;6;3;3;1
2132;1;Medium;3;55;4;4;3;3;3
2164;1;Dark;2;41;4;5;2;6;1
2239;1;Dark;2;44;2;4;4;4;2
2181;1;Medium;4;62;4;5;1;3;5
2178;1;Medium;4;68;4;3;3;3;1
2167;1;Light;4;69;4;3;2;3;1
2165;1;Medium;1;34;4;5;2;6;1
2183;1;Dark;4;68;2;4;3;3;1
4221;1;Dark;1;29;2;6;4;4;1
4145;1;Dark;2;42;4;5;2;3;1
4120;1;Medium;1;25;4;4;3;3;1
4079;1;Medium;1;29;4;6;3;6;1
4029;1;Medium;3;59;1;6;3;4;4
2185;1;Dark;2;49;4;6;3;3;2
4146;1;Medium;3;59;4;5;2;4;2
4030;1;Dark;1;25;1;7;3;3;1
4031;1;Medium;1;28;1;6;3;6;1
2186;1;Dark;2;43;2;3;4;4;1
2153;1;Dark;2;41;2;2;4;4;2
2205;1;Dark;1;25;4;7;3;3;2
2162;1;Dark;2;42;3;7;4;6;2
2109;1;Dark;3;55;4;6;4;3;2
2131;1;Dark;4;63;4;4;3;3;2
4148;1;Dark;4;66;4;4;3;3;3
4166;1;Dark;3;57;2;6;4;4;2
4033;1;Light;3;55;1;6;3;3;2
3097;1;Medium;1;34;1;6;3;6;2
4056;1;Dark;1;25;3;6;3;6;1
4189;1;Dark;1;25;3;6;4;6;1
4150;1;Dark;1;25;4;6;4;3;1
4199;1;Dark;1;26;4;7;3;3;1
4202;1;Dark;1;26;4;5;3;3;1
4152;1;Dark;1;25;7;6;3;3;1
4151;1;Medium;4;64;4;6;4;3;2
4223;1;Medium;1;39;3;4;3;6;1
4235;1;Dark;1;25;4;5;3;3;1
4260;1;Dark;1;33;4;5;3;6;1
3101;1;Medium;2;48;1;5;4;3;1
4236;1;Dark;1;30;4;6;3;6;1
4198;1;Dark;1;25;4;5;3;3;1
4200;1;Dark;1;26;4;4;3;3;1
4237;1;Dark;2;42;4;7;3;6;2
4234;1;Dark;2;43;4;4;3;3;1
4266;1;Medium;1;37;2;5;4;3;1
4203;1;Medium;4;64;7;6;3;4;1
4168;1;Medium;1;35;1;6;3;3;1
4169;1;Dark;1;34;1;6;3;3;1
4225;1;Dark;2;43;4;6;3;4;1
4226;1;Dark;4;66;4;6;3;3;2
4233;1;Medium;1;30;4;5;4;3;1
4190;1;Medium;4;65;3;7;2;3;2
4204;1;Dark;1;25;4;6;3;3;1
4080;1;Dark;1;25;4;5;4;3;1
4086;1;Light;2;42;4;4;2;3;2
4032;1;Medium;4;69;1;4;3;3;3
4034;1;Medium;2;46;7;5;3;2;2
4149;1;Dark;1;27;4;7;3;3;1
4192;1;Dark;1;39;3;5;2;3;1
4194;1;Dark;4;67;4;4;3;3;1
4205;1;Dark;1;25;4;7;4;3;1
4206;1;Medium;4;61;4;4;3;6;1
4230;1;Medium;2;43;4;5;3;3;1
4253;1;Dark;1;31;4;7;3;3;1
4232;1;Dark;2;47;4;6;3;2;1
4229;1;Medium;1;25;4;7;4;3;1
4171;1;Dark;3;56;1;2;2;4;1
4227;1;Dark;1;25;4;7;3;3;1
4167;1;Medium;1;34;2;4;4;6;1
4193;1;Medium;4;64;1;6;3;3;1
4153;1;Dark;2;46;4;5;3;3;1
4170;1;Dark;3;56;3;4;3;3;1
4197;1;Dark;1;33;1;6;3;6;1
4228;1;Dark;1;32;4;7;4;2;1
4191;1;Dark;2;45;4;6;4;3;2
4172;1;Dark;1;25;1;5;3;2;1
4222;1;Dark;3;56;2;5;4;3;2
4207;1;Dark;1;26;2;6;4;4;1
4173;1;Dark;1;32;3;5;3;3;1
4195;1;Dark;3;57;4;4;3;6;5
4238;1;Dark;2;44;4;5;3;3;1
4063;1;Dark;1;30;4;3;3;3;1
4239;1;Medium;1;28;1;5;3;3;1
4035;1;Dark;1;32;3;6;3;6;1
4112;1;Dark;1;33;4;5;4;3;1
4087;1;Medium;1;26;4;5;3;4;1
4240;1;Medium;3;53;3;6;3;3;1
4082;1;Light;4;68;4;3;2;3;2
4065;1;Dark;1;25;1;7;3;3;1
4036;1;Dark;1;25;1;7;3;3;1
4154;1;Dark;1;31;4;6;3;3;1
4155;1;Dark;1;28;4;7;4;3;1
4156;1;Dark;1;25;4;4;3;3;1
4174;1;Dark;1;36;3;6;3;3;1
4157;1;Dark;2;48;4;5;4;3;1
4231;1;Dark;1;36;4;6;4;3;1
4113;1;Light;2;48;4;4;3;3;1
4175;1;Dark;1;36;3;5;4;4;1
4208;1;Dark;1;26;4;7;3;6;1
4241;1;Dark;1;39;4;5;3;3;1
4005;1;Dark;1;32;1;5;3;3;1
4106;1;Medium;1;26;4;5;4;3;1
4117;1;Dark;4;62;4;6;2;2;2
4014;1;Dark;1;37;3;7;3;6;1
4111;1;Dark;3;53;3;5;3;3;3
4201;1;Dark;1;26;4;5;3;6;1
4147;1;Dark;1;27;4;6;3;3;1
4242;1;Medium;1;32;4;6;3;4;1
4125;1;Dark;1;28;4;7;4;3;1
4037;1;Light;3;52;1;5;3;3;1
4243;1;Dark;3;53;4;5;3;3;2
4039;1;Dark;4;64;3;2;3;6;1
4038;1;Medium;2;46;1;3;3;3;1
4176;1;Dark;3;54;1;3;3;6;1
4209;1;Dark;1;39;4;7;3;3;1
4177;1;Medium;1;25;1;7;2;3;1
4244;1;Dark;4;67;4;7;3;6;1
4068;1;Dark;2;43;4;4;4;6;5
4075;1;Medium;3;54;4;6;3;3;5
4160;1;Dark;2;48;1;6;3;6;5
4064;1;Dark;1;25;4;5;4;3;1
4067;1;Dark;1;25;4;3;3;6;1
4261;1;Dark;2;40;2;6;3;4;5
4066;1;Dark;3;52;4;7;3;6;1
4076;1;Dark;1;26;4;5;3;3;1
4178;1;Medium;3;58;1;7;3;6;1
4245;1;Dark;1;25;4;7;3;3;1
4246;1;Medium;1;30;4;4;3;2;1
4072;1;Dark;3;54;3;4;3;3;5
4179;1;Medium;1;27;1;6;2;3;1
4182;1;Dark;1;37;3;6;3;6;1
4183;1;Dark;1;32;1;7;3;3;1
4184;1;Medium;1;26;7;6;4;4;1
4247;1;Dark;1;34;4;5;4;4;1
4210;1;Dark;1;31;5;7;3;6;1
4224;1;Dark;1;27;4;6;3;6;1
4071;1;Dark;1;29;4;7;3;3;1
4248;1;Light;2;40;4;7;3;3;1
4040;1;Medium;3;54;1;4;3;3;3
4185;1;Medium;2;40;1;6;4;3;1
4265;1;Dark;2;43;2;7;4;4;2
4074;1;Medium;4;69;4;2;4;4;5
4254;1;Dark;1;34;4;5;4;3;1
4249;1;Dark;3;56;4;5;3;3;3
4250;1;Medium;3;54;4;5;3;3;1
4114;1;Dark;3;51;4;5;4;4;2
4213;1;Dark;2;49;4;5;4;4;2
4212;1;Dark;1;25;4;6;4;4;1
4130;1;Light;3;52;7;5;4;5;2
4211;1;Dark;1;31;4;7;4;3;2
4264;1;Dark;2;40;2;3;3;3;1
4263;1;Dark;1;28;2;4;4;4;2
4257;1;Dark;3;54;4;5;3;6;1
4159;1;Light;4;62;4;7;3;3;1
4140;1;Medium;3;56;4;5;3;3;1
4186;1;Light;1;27;1;5;3;3;1
4139;1;Dark;1;27;3;5;3;6;1
4180;1;Medium;1;25;1;5;3;6;1
4252;1;Light;2;46;1;5;3;3;1
4133;1;Dark;1;30;4;5;3;3;1
4255;1;Dark;1;27;4;5;4;4;1
4187;1;Dark;4;61;1;6;3;3;2
4220;1;Dark;4;64;2;4;3;3;1
